Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Variant SKU,Variant Price,Variant Inventory Qty,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Image Src,Image Alt Text
5pcs-bed-spread-quilt-set-super-king-white,"5pcs Bed Spread Quilt SET, Super King - White","<p>The 5pcs Bed Spread Quilt SET in Super King White is a luxurious quilted bedspread set in crisp white, featuring an elegant embossed floral quatrefoil quilting pattern. The 5-piece set includes 1 bedspread (250x240cm), 2 pillowcases (45x75cm) and 2 euroshams (65x65cm). Made from 100% polyester with 100% polyester filling.</p>",Agri Hub SA,Bedding,bedding,TRUE,,390.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318745645-hgwedf.webp,"5pcs Bed Spread Quilt SET, Super King - White"
comforter-set-001-light-grey,5pcs Comforter Set 001 - Light Grey,"<p>The Comforter Set 001 is a plush, warm fleece (teddy/sherpa) comforter set in light grey, featuring a beautifully embossed pattern of hearts and ""LOVE"" lettering for a cosy, textured finish. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Soft, breathable and warm - perfect for winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,450.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318766754-xp1xn7.webp,5pcs Comforter Set 001 - Light Grey
comforter-set-002-camel-brown,5pcs Comforter Set 002 - Camel Brown,"<p>The Comforter Set 002 is a plush, warm fleece (teddy/sherpa) comforter set in camel brown, featuring a beautifully embossed pattern of hearts and ""LOVE"" lettering for a cosy, textured finish. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Soft, breathable and warm - perfect for winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,450.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318766971-02p12q.webp,5pcs Comforter Set 002 - Camel Brown
comforter-set-003-teal,5pcs Comforter Set 003 - Teal,"<p>The Comforter Set 003 is a plush, warm fleece (teddy/sherpa) comforter set in teal, featuring a beautifully embossed pattern of hearts and ""LOVE"" lettering for a cosy, textured finish. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Soft, breathable and warm - perfect for winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,450.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318767968-m9l1ur.webp,5pcs Comforter Set 003 - Teal
comforter-set-004-burgundy,5pcs Comforter Set 004 - Burgundy,"<p>The Comforter Set 004 is a plush, warm fleece (teddy/sherpa) comforter set in burgundy, featuring a beautifully embossed pattern of hearts and ""LOVE"" lettering for a cosy, textured finish. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Soft, breathable and warm - perfect for winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,450.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318769541-rkr7ss.webp,5pcs Comforter Set 004 - Burgundy
comforter-set-005-lime-green,5pcs Comforter Set 005 - Lime Green,"<p>The Comforter Set 005 is a plush, warm fleece (teddy/sherpa) comforter set in lime green, featuring a beautifully embossed pattern of hearts and ""LOVE"" lettering for a cosy, textured finish. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Soft, breathable and warm - perfect for winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,450.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318770033-un3my3.webp,5pcs Comforter Set 005 - Lime Green
comforter-set-006-charcoal-grey,5pcs Comforter Set 006 - Charcoal Grey,"<p>The Comforter Set 006 is a plush, warm fleece (teddy/sherpa) comforter set in charcoal grey, featuring a beautifully embossed textured lettering pattern for a cosy, tactile finish. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Soft, breathable and warm - perfect for winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,450.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318770987-lz9q8s.webp,5pcs Comforter Set 006 - Charcoal Grey
comforter-set-007-petrol-blue,5pcs Comforter Set 007 - Petrol Blue,"<p>The Comforter Set 007 is a plush, warm fleece (teddy/sherpa) comforter set in petrol blue, featuring a beautifully embossed pattern of hearts and ""LOVE"" lettering for a cosy, textured finish. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Soft, breathable and warm - perfect for winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,450.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318772158-7o6ili.webp,5pcs Comforter Set 007 - Petrol Blue
comforter-set-008-white,5pcs Comforter Set 008 - White,"<p>The Comforter Set 008 is a plush, warm fleece (teddy/sherpa) comforter set in white, featuring a beautifully embossed pattern of hearts and ""LOVE"" lettering for a cosy, textured finish. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Soft, breathable and warm - perfect for winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,450.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318752519-xe2ljg.webp,5pcs Comforter Set 008 - White
comforter-set-white-fleece-blue,5pcs Comforter Set with white fleece inside- Blue,"<p>A plush blue comforter set lined with soft white fleece on the inside for extra warmth and cosiness during winter. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,545.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/comforter-set-white-fleece-blue-1783502660343.jpg,5pcs Comforter Set with white fleece inside- Blue
comforter-set-white-fleece-camel,5pcs Comforter Set with white fleece inside- Camel,"<p>A plush camel comforter set lined with soft white fleece on the inside for extra warmth and cosiness during winter. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,545.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/comforter-set-white-fleece-camel-1783502659706.jpg,5pcs Comforter Set with white fleece inside- Camel
comforter-set-white-fleece-cream,5pcs Comforter Set with white fleece inside- Cream,"<p>A plush cream comforter set lined with soft white fleece on the inside for extra warmth and cosiness during winter. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,545.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/comforter-set-white-fleece-cream-1783502660749.jpg,5pcs Comforter Set with white fleece inside- Cream
comforter-set-white-fleece-grey,5pcs Comforter Set with white fleece inside- Grey,"<p>A plush grey comforter set lined with soft white fleece on the inside for extra warmth and cosiness during winter. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,545.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/comforter-set-white-fleece-grey-1783502658801.jpg,5pcs Comforter Set with white fleece inside- Grey
comforter-set-white-fleece-lilac,5pcs Comforter Set with white fleece inside- Lilac,"<p>A plush lilac comforter set lined with soft white fleece on the inside for extra warmth and cosiness during winter. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,545.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/comforter-set-white-fleece-lilac-1783502662310.jpg,5pcs Comforter Set with white fleece inside- Lilac
comforter-set-white-fleece-pink,5pcs Comforter Set with white fleece inside- Pink,"<p>A plush pink comforter set lined with soft white fleece on the inside for extra warmth and cosiness during winter. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,545.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/comforter-set-white-fleece-pink-1783502662852.jpg,5pcs Comforter Set with white fleece inside- Pink
comforter-set-white-fleece-sage-green,5pcs Comforter Set with white fleece inside- Sage Green,"<p>A plush sage green comforter set lined with soft white fleece on the inside for extra warmth and cosiness during winter. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,545.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/comforter-set-white-fleece-sage-green-1783502661319.jpg,5pcs Comforter Set with white fleece inside- Sage Green
comforter-set-white-fleece-steel-blue,5pcs Comforter Set with white fleece inside- Steel Blue,"<p>A plush steel blue comforter set lined with soft white fleece on the inside for extra warmth and cosiness during winter. This 5-piece set includes 1 comforter, 2 continental pillowcases and 2 standard pillowcases. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,545.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/comforter-set-white-fleece-steel-blue-1783502661851.jpg,5pcs Comforter Set with white fleece inside- Steel Blue
5pcs-corduroy-comforter-001-charcoal,5pcs Corduroy Comforter 001 - Charcoal (Queen),"<p>The 5pcs Corduroy Comforter 001 is a warm and luxuriously soft Queen size comforter set in a deep charcoal grey, featuring a plush ribbed corduroy-style texture. This 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases. Soft, warm and cosy - perfect for adding modern elegance and comfort to your bedroom.</p>",Agri Hub SA,Bedding,bedding,TRUE,,450.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318764475-odxlcy.webp,5pcs Corduroy Comforter 001 - Charcoal (Queen)
5pcs-corduroy-comforter-002-plum,5pcs Corduroy Comforter 002 - Plum (Queen),"<p>The 5pcs Corduroy Comforter 002 is a warm and luxuriously soft Queen size comforter set in a rich plum purple, featuring a plush ribbed corduroy-style texture. This 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases. Soft, warm and cosy - perfect for adding a touch of regal elegance and comfort to your bedroom.</p>",Agri Hub SA,Bedding,bedding,TRUE,,450.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318764599-lmp2oi.webp,5pcs Corduroy Comforter 002 - Plum (Queen)
5pcs-corduroy-comforter-003-lilac,5pcs Corduroy Comforter 003 - Lilac (Queen),"<p>The 5pcs Corduroy Comforter 003 is a warm and luxuriously soft Queen size comforter set in a soft lilac purple, featuring a plush ribbed corduroy-style texture. This 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases. Soft, warm and cosy - perfect for adding a gentle, elegant touch and comfort to your bedroom.</p>",Agri Hub SA,Bedding,bedding,TRUE,,450.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318764690-rhc70k.webp,5pcs Corduroy Comforter 003 - Lilac (Queen)
5pcs-corner-shower-caddy,5pcs Corner Shower Caddy,<p>5pcs Corner Shower Caddy</p>,Agri Hub SA,Kitchenware,kitchenware,TRUE,,295.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/5pcs-corner-shower-caddy.jpg,5pcs Corner Shower Caddy
5pcs-reversible-comforter-p1,5pcs Flower Reversible Comforter P1,"<p>The 5pcs Reversible Comforter P1 is a stylish two-sided comforter set featuring a delicate cherry-blossom tree design in white and red blooms on a soft grey background, reversing to a solid red diamond-quilted side. The 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases. Soft, warm and versatile - flip it to refresh your bedroom look. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,495.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318754293-h9rcg8.webp,5pcs Flower Reversible Comforter P1
5pcs-reversible-comforter-p2,5pcs Flower Reversible Comforter P2,"<p>The 5pcs Reversible Comforter P2 is a stylish two-sided comforter set featuring bold red, white, black and grey vertical stripes, reversing to a solid grey diamond-quilted side. The 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases. Soft, warm and versatile - flip it to refresh your bedroom look. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,495.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318742116-5ggmwd.webp,5pcs Flower Reversible Comforter P2
5pcs-reversible-comforter-p3,5pcs Flower Reversible Comforter P3,"<p>The 5pcs Reversible Comforter P3 is a stylish two-sided comforter set featuring a white floral panel of red roses, mauve peonies and golden-yellow blossoms, reversing to a solid red diamond-quilted side. The 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases. Soft, warm and versatile - flip it to refresh your bedroom look. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,495.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318742101-khawmc.webp,5pcs Flower Reversible Comforter P3
5pcs-reversible-comforter-p4,5pcs Flower Reversible Comforter P4,"<p>The 5pcs Reversible Comforter P4 is a stylish two-sided comforter set featuring rich red roses over an ornate red scrollwork print, reversing to a solid red diamond-quilted side. The 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases. Soft, warm and versatile - flip it to refresh your bedroom look. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,495.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318742270-2cdfs9.webp,5pcs Flower Reversible Comforter P4
5pcs-reversible-comforter-p5,5pcs Flower Reversible Comforter P5,"<p>The 5pcs Reversible Comforter P5 is a stylish two-sided comforter set featuring burgundy and grey panels with white floral scroll columns and wavy black-and-white stripes, reversing to a solid burgundy diamond-quilted side. The 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases. Soft, warm and versatile - flip it to refresh your bedroom look. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,495.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318754394-l0svpb.webp,5pcs Flower Reversible Comforter P5
5pcs-reversible-comforter-p6,5pcs Flower Reversible Comforter P6,"<p>The 5pcs Reversible Comforter P6 is a stylish two-sided comforter set featuring large white and red lily floral outlines on a black background, reversing to a solid black diamond-quilted side. The 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases. Soft, warm and versatile - flip it to refresh your bedroom look. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,495.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318754636-u99eq9.webp,5pcs Flower Reversible Comforter P6
5pcs-reversible-comforter-p7,5pcs Flower Reversible Comforter P7,"<p>The 5pcs Reversible Comforter P7 is a stylish two-sided comforter set featuring a Paris theme with the Eiffel Tower, script lettering and hearts in teal and white, reversing to a solid teal diamond-quilted side. The 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases. Soft, warm and versatile - flip it to refresh your bedroom look. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,495.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318754759-fcr34q.webp,5pcs Flower Reversible Comforter P7
5pcs-reversible-comforter-p8,5pcs Flower Reversible Comforter P8,"<p>The 5pcs Reversible Comforter P8 is a stylish two-sided comforter set featuring gold mandala medallion motifs on a charcoal background, reversing to a solid camel/tan diamond-quilted side. The 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases. Soft, warm and versatile - flip it to refresh your bedroom look. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,495.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318745142-3f9i6m.webp,5pcs Flower Reversible Comforter P8
5pcs-frilled-combo-sheet-beige-damask,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Beige Damask","<p>The 5pcs Frilled Combo Sheet in Beige Damask features a beige and taupe base with a black and gold damask chandelier print and a frilled skirt. Available in King, Queen and Double sizes. The 5-piece set includes 1 fitted bedspread with frill, 2 pillowcases and 2 cushion covers.</p>",Agri Hub SA,Bedding,bedding,TRUE,,185.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318750932-vxh7it.webp,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Beige Damask"
5pcs-frilled-combo-sheet-blue-floral,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Blue Floral","<p>The 5pcs Frilled Combo Sheet in Blue Floral features a royal blue base with white and grey floral border and a frilled skirt. Available in King, Queen and Double sizes. The 5-piece set includes 1 fitted bedspread with frill, 2 pillowcases and 2 cushion covers.</p>",Agri Hub SA,Bedding,bedding,TRUE,,185.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318749601-vh5yya.webp,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Blue Floral"
5pcs-frilled-combo-sheet-blue-flower,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Blue Flower","<p>The 5pcs Frilled Combo Sheet in Blue Flower features a navy base with large blue and white flowers and a striped frilled skirt. Available in King, Queen and Double sizes. The 5-piece set includes 1 fitted bedspread with frill, 2 pillowcases and 2 cushion covers.</p>",Agri Hub SA,Bedding,bedding,TRUE,,185.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318752022-kg8v14.webp,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Blue Flower"
5pcs-frilled-combo-sheet-blue-geometric,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Blue Geometric","<p>The 5pcs Frilled Combo Sheet in Blue Geometric features navy and teal stripes with a diamond geometric pattern and a frilled skirt. Available in King, Queen and Double sizes. The 5-piece set includes 1 fitted bedspread with frill, 2 pillowcases and 2 cushion covers.</p>",Agri Hub SA,Bedding,bedding,TRUE,,185.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318749317-sg8gwh.webp,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Blue Geometric"
5pcs-frilled-combo-sheet-green-paris,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Green Paris","<p>The 5pcs Frilled Combo Sheet in Green Paris features a white base with green hearts and a black Eiffel Tower Paris print, finished with a frilled skirt. Available in King, Queen and Double sizes. The 5-piece set includes 1 fitted bedspread with frill, 2 pillowcases and 2 cushion covers.</p>",Agri Hub SA,Bedding,bedding,TRUE,,185.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318751999-e1no3l.webp,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Green Paris"
5pcs-frilled-combo-sheet-grey-clock,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Grey Clock","<p>The 5pcs Frilled Combo Sheet in Grey Clock features a grey base with a vintage London, Paris, Tokyo and New York clock print and a frilled skirt. Available in King, Queen and Double sizes. The 5-piece set includes 1 fitted bedspread with frill, 2 pillowcases and 2 cushion covers.</p>",Agri Hub SA,Bedding,bedding,TRUE,,185.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318749469-0yqawu.webp,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Grey Clock"
5pcs-frilled-combo-sheet-grey-mandala,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Grey Mandala","<p>The 5pcs Frilled Combo Sheet in Grey Mandala features a charcoal grey base with elegant brown and cream mandala medallions and a frilled skirt. Available in King, Queen and Double sizes. The 5-piece set includes 1 fitted bedspread with frill, 2 pillowcases and 2 cushion covers.</p>",Agri Hub SA,Bedding,bedding,TRUE,,185.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318749127-b4zwi0.webp,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Grey Mandala"
5pcs-frilled-combo-sheet-maroon-wave,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Maroon Wave","<p>The 5pcs Frilled Combo Sheet in Maroon Wave features a maroon and grey wave pattern with an elegant white scroll motif and a grey frilled skirt. Available in King, Queen and Double sizes. The 5-piece set includes 1 fitted bedspread with frill, 2 pillowcases and 2 cushion covers.</p>",Agri Hub SA,Bedding,bedding,TRUE,,185.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318749823-paxc7a.webp,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Maroon Wave"
5pcs-frilled-combo-sheet-red-rose,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Red Rose","<p>The 5pcs Frilled Combo Sheet in Red Rose features lush red roses on a black and red base with a matching frilled skirt. Available in King, Queen and Double sizes. The 5-piece set includes 1 fitted bedspread with frill, 2 pillowcases and 2 cushion covers.</p>",Agri Hub SA,Bedding,bedding,TRUE,,185.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318752324-7k9q91.webp,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Red Rose"
5pcs-frilled-combo-sheet-red-stripe,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Red Stripe","<p>The 5pcs Frilled Combo Sheet in Red Stripe features bold red, black, white and grey horizontal stripes with a black frilled skirt. Available in King, Queen and Double sizes. The 5-piece set includes 1 fitted bedspread with frill, 2 pillowcases and 2 cushion covers.</p>",Agri Hub SA,Bedding,bedding,TRUE,,185.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318749337-e3bs54.webp,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Red Stripe"
5pcs-frilled-combo-sheet-teal-butterfly,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Teal Butterfly","<p>The 5pcs Frilled Combo Sheet in Teal Butterfly features a rich teal base with gold butterflies and white and yellow flowers, finished with a frilled skirt. Available in King, Queen and Double sizes. The 5-piece set includes 1 fitted bedspread with frill, 2 pillowcases and 2 cushion covers.</p>",Agri Hub SA,Bedding,bedding,TRUE,,185.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318749079-3ymbec.webp,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - Teal Butterfly"
5pcs-frilled-combo-sheet-white-red-floral,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - White Red Floral","<p>The 5pcs Frilled Combo Sheet in White Red Floral features a white base with bold red and mauve roses and a white striped frilled skirt. Available in King, Queen and Double sizes. The 5-piece set includes 1 fitted bedspread with frill, 2 pillowcases and 2 cushion covers.</p>",Agri Hub SA,Bedding,bedding,TRUE,,185.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318750928-smegx3.webp,"5pcs Frilled Combo Sheet, in King, Queen and Double Sizes - White Red Floral"
5pcs-generic-reversible-comforters-aqua,5pcs Generic Reversible Comforters-Aqua,"<p>The 5pcs Generic Reversible Comforters in Aqua is a reversible quilted comforter set in aqua turquoise with a light grey reverse side. The 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases.</p>",Agri Hub SA,Bedding,bedding,TRUE,,295.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318755373-gehlnj.webp,5pcs Generic Reversible Comforters-Aqua
5pcs-generic-reversible-comforters-black,5pcs Generic Reversible Comforters-Black,"<p>The 5pcs Generic Reversible Comforters in Black is a reversible quilted comforter set in black with a grey reverse side. The 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases.</p>",Agri Hub SA,Bedding,bedding,TRUE,,295.00,50,shopify,deny,manual,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/IMG-20260108-WA0039%281%29-mx0jOVIvn7eRiALTUvnBFkGGSfCaZJ.jpg,5pcs Generic Reversible Comforters-Black
5pcs-generic-reversible-comforters-camel,5pcs Generic Reversible Comforters-Camel,"<p>The 5pcs Generic Reversible Comforters in Camel is a reversible quilted comforter set in camel/khaki with a chocolate brown reverse side. The 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases.</p>",Agri Hub SA,Bedding,bedding,TRUE,,295.00,50,shopify,deny,manual,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/IMG-20260108-WA0030%281%29%20%281%29-32ekdhqIEQGrqSYI7BrP3E0EnmvAEV.jpg,5pcs Generic Reversible Comforters-Camel
5pcs-generic-reversible-comforters-chocolate-brown,5pcs Generic Reversible Comforters-Chocolate Brown,"<p>The 5pcs Generic Reversible Comforters in Chocolate Brown is a reversible quilted comforter set in chocolate brown with a cream/beige reverse side. The 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases.</p>",Agri Hub SA,Bedding,bedding,TRUE,,295.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318755007-hvqjq1.webp,5pcs Generic Reversible Comforters-Chocolate Brown
5pcs-generic-reversible-comforters-grey,5pcs Generic Reversible Comforters-Grey,"<p>The 5pcs Generic Reversible Comforters in Grey is a reversible quilted comforter set in charcoal grey with a light grey reverse side. The 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases.</p>",Agri Hub SA,Bedding,bedding,TRUE,,295.00,50,shopify,deny,manual,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/IMG-20260108-WA0028%281%29-ce74KJnZp03bJMQPrzQXWR5Lp49cHr.jpg,5pcs Generic Reversible Comforters-Grey
5pcs-generic-reversible-comforters-grey-black,5pcs Generic Reversible Comforters-Grey & Black,"<p>The 5pcs Generic Reversible Comforters in Grey &amp; Black is a reversible quilted comforter set in light grey with a black reverse side. The 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases.</p>",Agri Hub SA,Bedding,bedding,TRUE,,295.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318742199-ss8993.webp,5pcs Generic Reversible Comforters-Grey & Black
5pcs-generic-reversible-comforters-navy-blue,5pcs Generic Reversible Comforters-Navy Blue,"<p>The 5pcs Generic Reversible Comforters in Navy Blue is a reversible quilted comforter set in navy blue with a light blue reverse side. The 5-piece set includes 1 comforter, 2 standard pillowcases and 2 continental pillowcases.</p>",Agri Hub SA,Bedding,bedding,TRUE,,295.00,5,shopify,deny,manual,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/IMG-20260108-WA0032%281%29-RR0r56BsTLIh1tY6p7b4UK89ICMstc.jpg,5pcs Generic Reversible Comforters-Navy Blue
